raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1105,2023,7,4,Spanish Grand Prix,6/4/23,0.541666667,https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix,6/2/2023,12/31/1899 11:30:00_AM,6/2/2023,12/31/1899 3:00:00_PM,6/3/2023,12/31/1899 10:30:00_AM,6/3/2023,12/31/1899 2:00:00_PM,\N,\N
1106,2023,8,7,Canadian Grand Prix,6/18/23,0.75,https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix,6/16/2023,12/31/1899 5:30:00_PM,6/16/2023,12/31/1899 9:00:00_PM,6/17/2023,12/31/1899 4:30:00_PM,6/17/2023,12/31/1899 8:00:00_PM,\N,\N
1108,2023,10,9,British Grand Prix,7/9/23,0.583333333,https://en.wikipedia.org/wiki/2023_British_Grand_Prix,7/7/2023,12/31/1899 11:30:00_AM,7/7/2023,12/31/1899 3:00:00_PM,7/8/2023,12/31/1899 10:30:00_AM,7/8/2023,12/31/1899 2:00:00_PM,\N,\N
1109,2023,11,11,Hungarian Grand Prix,7/23/23,0.541666667,https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix,7/21/2023,12/31/1899 11:30:00_AM,7/21/2023,12/31/1899 3:00:00_PM,7/22/2023,12/31/1899 10:30:00_AM,7/22/2023,12/31/1899 2:00:00_PM,\N,\N
1111,2023,13,39,Dutch Grand Prix,8/27/23,0.541666667,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix,8/25/2023,12/31/1899 10:30:00_AM,8/25/2023,12/31/1899 2:00:00_PM,8/26/2023,12/31/1899 9:30:00_AM,8/26/2023,12/31/1899 1:00:00_PM,\N,\N
1112,2023,14,14,Italian Grand Prix,9/3/23,0.541666667,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix,9/1/2023,12/31/1899 11:30:00_AM,9/1/2023,12/31/1899 3:00:00_PM,9/2/2023,12/31/1899 10:30:00_AM,9/2/2023,12/31/1899 2:00:00_PM,\N,\N
1113,2023,15,15,Singapore Grand Prix,9/17/23,0.5,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix,9/15/2023,12/31/1899 9:30:00_AM,9/15/2023,12/31/1899 1:00:00_PM,9/16/2023,12/31/1899 9:30:00_AM,9/16/2023,12/31/1899 1:00:00_PM,\N,\N
1114,2023,16,22,Japanese Grand Prix,9/24/23,0.208333333,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix,9/22/2023,12/31/1899 2:30:00_AM,9/22/2023,12/31/1899 6:00:00_AM,9/23/2023,12/31/1899 2:30:00_AM,9/23/2023,12/31/1899 6:00:00_AM,\N,\N
1117,2023,19,32,Mexico City Grand Prix,10/29/23,0.833333333,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix,10/27/2023,12/31/1899 6:30:00_PM,10/27/2023,12/31/1899 10:00:00_PM,10/28/2023,12/31/1899 5:30:00_PM,10/28/2023,12/31/1899 9:00:00_PM,\N,\N
1119,2023,21,80,Las Vegas Grand Prix,11/19/23,0.25,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix,11/17/2023,12/31/1899 4:30:00_AM,11/17/2023,12/31/1899 8:00:00_AM,11/18/2023,12/31/1899 4:30:00_AM,11/18/2023,12/31/1899 8:00:00_AM,\N,\N
1120,2023,22,24,Abu Dhabi Grand Prix,11/26/23,0.541666667,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix,11/24/2023,12/31/1899 9:30:00_AM,11/24/2023,12/31/1899 1:00:00_PM,11/25/2023,12/31/1899 10:30:00_AM,11/25/2023,12/31/1899 2:00:00_PM,\N,\N
